N,P,K,target
77.4,116.36,76.27,Tomato
79.3,8.35,88.42,Tomato
89.52,68.56,77.57,Tomato
89.0,42.89,29.7,Tomato
76.56,54.72,72.39,Tomato
93.27,87.05,122.51,Tomato
74.11,68.58,66.02,Tomato
97.1,88.17,22.15,Tomato
72.51,57.72,95.74,Tomato
78.83,32.4,55.14,Tomato
96.81,94.88,84.73,Tomato
88.98,81.93,21.63,Tomato
72.65,25.68,84.89,Tomato
65.42,9.89,66.37,Tomato
71.87,80.12,102.46,Tomato
81.42,95.45,30.33,Tomato
98.27,69.41,85.83,Tomato
76.73,40.09,15.2,Tomato
95.94,23.4,98.14,Tomato
97.54,101.23,76.67,Tomato
83.75,103.53,93.57,Tomato
75.18,-14.47,89.42,Tomato
91.32,-12.65,31.39,Tomato
96.4,98.22,61.61,Tomato
57.73,119.59,45.59,Tomato
88.3,114.69,118.13,Tomato
85.73,203.29,47.92,Tomato
59.22,-39.96,95.05,Tomato
56.12,77.73,23.09,Tomato
81.04,121.3,31.69,Tomato
78.34,76.41,-11.96,Tomato
90.83,91.73,59.49,Tomato
68.22,58.06,36.1,Tomato
87.36,120.11,16.78,Tomato
77.03,132.63,35.76,Tomato
57.75,104.31,115.54,Tomato
87.42,105.68,83.23,Tomato
96.03,60.51,21.27,Tomato
86.43,61.15,66.19,Tomato
72.79,104.56,94.03,Tomato
87.75,122.35,41.18,Tomato
87.28,100.9,93.46,Tomato
95.67,184.08,9.58,Tomato
74.76,-14.28,38.28,Tomato
77.4,47.9,63.58,Tomato
79.07,63.82,26.96,Tomato
70.38,78.19,65.04,Tomato
77.67,67.87,76.68,Tomato
67.18,28.32,-4.75,Tomato
74.4,41.59,114.36,Tomato
75.78,127.09,61.99,Tomato
84.36,31.48,64.18,Tomato
75.79,23.39,87.7,Tomato
70.39,62.09,81.61,Tomato
71.89,80.92,18.42,Tomato
80.15,37.5,71.84,Tomato
76.5,70.29,48.66,Tomato
86.13,67.06,71.88,Tomato
91.77,31.03,44.0,Tomato
82.37,103.52,103.07,Tomato
94.3,97.7,91.05,Tomato
93.99,84.63,68.02,Tomato
71.4,-17.5,56.83,Tomato
68.09,59.28,14.53,Tomato
69.14,76.01,56.59,Tomato
68.87,117.28,34.53,Tomato
90.17,73.37,59.22,Tomato
100.19,67.05,77.25,Tomato
86.84,67.2,64.15,Tomato
86.01,123.81,62.81,Tomato
84.18,45.68,85.01,Tomato
84.16,135.04,28.1,Tomato
75.91,16.59,4.57,Tomato
90.45,64.19,42.01,Tomato
77.72,-1.52,38.12,Tomato
91.32,82.76,38.19,Tomato
98.12,40.51,65.13,Tomato
58.64,10.93,-46.66,Tomato
91.14,-34.28,103.58,Tomato
93.27,71.31,77.79,Tomato
74.87,34.82,39.12,Tomato
81.29,97.58,43.42,Tomato
89.35,20.02,41.73,Tomato
70.86,-22.52,13.74,Tomato
89.81,52.98,85.38,Tomato
75.84,83.75,47.81,Tomato
60.44,65.36,72.13,Tomato
83.28,31.84,69.63,Tomato
80.28,95.95,52.73,Tomato
67.38,5.58,-2.28,Tomato
72.19,85.89,-0.86,Tomato
90.81,47.41,55.54,Tomato
47.72,52.17,71.29,Tomato
78.41,116.08,79.82,Tomato
97.06,107.67,48.98,Tomato
90.2,77.6,55.11,Tomato
91.41,150.14,67.48,Tomato
73.36,72.98,31.21,Tomato
72.21,183.45,67.37,Tomato
79.32,92.17,26.69,Tomato
85.76,76.74,73.06,Tomato
85.53,103.55,32.87,Tomato
104.71,58.75,116.55,Tomato
77.79,118.57,72.36,Tomato
106.64,94.43,12.4,Tomato
101.04,-33.5,85.94,Tomato
68.05,15.43,68.32,Tomato
91.93,87.44,111.35,Tomato
84.09,127.93,97.13,Tomato
79.21,106.92,16.85,Tomato
90.55,116.49,25.85,Tomato
66.16,21.07,-36.93,Tomato
66.79,-14.36,96.78,Tomato
91.05,115.38,26.12,Tomato
66.92,69.96,46.69,Tomato
73.72,124.23,80.32,Tomato
84.25,73.48,69.31,Tomato
79.45,80.29,80.26,Tomato
77.76,67.44,66.66,Tomato
75.9,82.46,71.49,Tomato
96.76,161.61,74.88,Tomato
77.37,89.63,37.72,Tomato
86.87,113.36,64.9,Tomato
81.83,158.21,46.45,Tomato
81.73,65.78,41.27,Tomato
85.42,-17.06,-1.65,Tomato
71.52,178.85,-0.71,Tomato
79.72,-29.97,89.97,Tomato
77.46,72.16,88.56,Tomato
80.4,102.26,42.78,Tomato
87.78,49.28,17.49,Tomato
59.85,109.39,41.4,Tomato
93.06,144.0,98.21,Tomato
80.93,61.55,48.34,Tomato
79.34,165.46,56.74,Tomato
80.03,148.68,62.47,Tomato
78.72,142.19,31.45,Tomato
67.32,80.75,29.45,Tomato
87.38,93.55,47.35,Tomato
95.43,95.91,18.03,Tomato
91.36,122.6,76.71,Tomato
67.68,62.96,61.61,Tomato
78.55,9.67,14.59,Tomato
79.67,137.46,75.7,Tomato
76.41,15.68,88.34,Tomato
92.78,56.74,58.53,Tomato
76.51,143.96,90.79,Tomato
75.45,137.74,103.37,Tomato
98.05,94.43,83.97,Tomato
71.38,80.04,45.57,Tomato
79.23,60.08,71.0,Tomato
78.97,59.44,-22.87,Tomato
82.26,54.5,76.35,Tomato
61.07,65.48,96.91,Tomato
75.12,53.31,50.24,Tomato
77.55,207.69,54.43,Tomato
62.61,131.82,29.31,Tomato
81.21,-8.96,71.54,Tomato
76.58,109.39,66.97,Tomato
80.29,101.14,57.02,Tomato
95.13,61.66,21.0,Tomato
64.06,135.48,68.99,Tomato
71.94,91.01,49.9,Tomato
82.02,136.85,18.67,Tomato
71.97,57.51,121.72,Tomato
65.42,149.38,48.23,Tomato
92.2,83.41,52.25,Tomato
93.3,57.1,38.77,Tomato
86.62,79.83,96.19,Tomato
65.7,115.52,83.05,Tomato
75.81,84.28,22.38,Tomato
72.38,80.43,32.38,Tomato
94.99,123.51,69.98,Tomato
74.26,51.46,59.04,Tomato
86.69,120.93,25.79,Tomato
96.94,62.59,62.7,Tomato
83.93,19.23,57.13,Tomato
63.84,44.75,37.55,Tomato
74.83,87.67,78.41,Tomato
88.19,121.75,35.99,Tomato
81.62,161.09,72.73,Tomato
72.27,107.17,27.07,Tomato
69.25,2.51,43.97,Tomato
78.3,122.82,82.72,Tomato
90.93,102.98,55.61,Tomato
58.47,88.94,58.74,Tomato
78.1,69.35,70.82,Tomato
77.42,8.82,9.1,Tomato
86.17,101.72,42.9,Tomato
77.92,96.03,14.7,Tomato
88.84,36.47,73.23,Tomato
74.46,46.4,63.35,Tomato
84.62,12.59,60.34,Tomato
81.46,89.21,59.24,Tomato
67.79,71.19,64.45,Tomato
78.1,129.08,36.3,Tomato
81.39,147.7,41.41,Tomato
81.72,76.06,53.58,Tomato
74.56,93.13,-9.8,Tomato
64.14,50.73,84.18,Tomato
84.13,48.91,104.36,Tomato
86.24,-26.36,10.73,Tomato
101.72,116.49,80.6,Tomato
96.55,114.65,88.37,Tomato
71.11,130.02,101.54,Tomato
62.61,103.47,25.96,Tomato
71.34,77.19,77.81,Tomato
73.56,111.39,78.47,Tomato
74.03,-11.11,85.2,Tomato
77.82,-46.29,32.59,Tomato
71.57,152.33,95.42,Tomato
73.67,94.73,58.53,Tomato
80.94,87.65,65.0,Tomato
74.81,66.81,100.31,Tomato
78.14,22.86,75.05,Tomato
73.4,75.34,73.75,Tomato
67.91,-6.26,7.87,Tomato
70.36,59.35,80.73,Tomato
82.12,87.44,69.98,Tomato
96.94,108.51,84.08,Tomato
72.24,132.05,39.08,Tomato
88.01,18.53,94.42,Tomato
92.28,94.77,101.92,Tomato
76.96,46.27,80.57,Tomato
101.41,32.16,33.15,Tomato
86.75,186.46,109.49,Tomato
81.75,70.75,53.76,Tomato
83.09,12.96,57.98,Tomato
83.24,130.49,71.39,Tomato
63.16,120.56,36.33,Tomato
91.2,43.51,22.48,Tomato
93.73,53.21,38.21,Tomato
78.03,20.75,71.52,Tomato
84.71,28.07,59.88,Tomato
71.12,108.06,27.92,Tomato
70.56,-3.03,43.94,Tomato
87.15,31.52,51.03,Tomato
79.64,67.74,-18.49,Tomato
73.49,135.2,61.3,Tomato
91.78,45.62,32.68,Tomato
84.42,124.86,30.23,Tomato
91.15,100.81,74.78,Tomato
75.88,26.77,109.18,Tomato
66.31,106.95,23.53,Tomato
71.32,127.64,53.57,Tomato
63.08,74.66,5.19,Tomato
73.03,46.08,57.84,Tomato
84.65,88.16,63.63,Tomato
76.67,46.62,40.76,Tomato
70.43,66.21,9.33,Tomato
70.24,100.39,57.66,Tomato
74.52,128.48,41.39,Tomato
83.26,32.8,65.24,Tomato
85.56,19.49,64.45,Tomato
87.09,-10.74,43.16,Tomato
91.73,82.94,85.56,Tomato
74.59,47.84,67.39,Tomato
92.85,118.07,23.94,Tomato
85.15,168.74,47.8,Tomato
80.67,69.6,34.0,Tomato
87.96,92.76,75.29,Tomato
80.14,94.92,60.42,Tomato
86.96,42.38,82.58,Tomato
68.99,58.84,42.57,Tomato
68.51,104.67,61.21,Tomato
72.18,123.28,78.45,Tomato
71.78,43.18,18.05,Tomato
76.85,110.55,111.96,Tomato
86.21,44.4,105.09,Tomato
77.36,92.21,111.4,Tomato
88.51,60.2,66.56,Tomato
70.81,46.97,57.08,Tomato
77.99,53.37,68.99,Tomato
94.94,60.11,75.28,Tomato
80.76,152.31,80.1,Tomato
84.11,39.91,41.38,Tomato
82.78,96.95,68.37,Tomato
89.75,28.47,52.6,Tomato
83.88,99.24,25.2,Tomato
74.88,108.22,47.79,Tomato
78.68,41.98,69.14,Tomato
68.47,134.64,42.09,Tomato
79.36,107.71,60.96,Tomato
90.7,176.95,9.04,Tomato
71.27,81.38,102.66,Tomato
75.97,129.01,31.2,Tomato
81.58,225.45,36.13,Tomato
91.5,55.58,61.21,Tomato
83.54,90.88,75.6,Tomato
73.37,126.41,43.11,Tomato
74.37,45.01,48.19,Tomato
89.43,105.81,47.28,Tomato
73.5,58.82,40.74,Tomato
95.05,116.41,59.76,Tomato
86.9,57.65,115.27,Tomato
76.17,48.19,18.57,Tomato
89.19,45.22,42.64,Tomato
98.13,99.04,76.06,Tomato
101.68,51.59,38.2,Tomato
82.84,20.26,56.04,Tomato
79.05,147.85,125.44,Tomato
75.67,76.78,109.87,Tomato
64.55,126.58,13.19,Tomato
72.9,99.14,80.59,Tomato
70.87,109.94,78.63,Tomato
76.95,94.59,64.99,Tomato
80.85,72.71,59.7,Tomato
88.84,38.26,76.13,Tomato
78.79,100.37,60.35,Tomato
90.79,117.46,63.43,Tomato
88.84,16.18,83.15,Tomato
65.87,76.34,49.1,Tomato
81.99,11.77,141.69,Tomato
84.9,83.43,83.06,Tomato
100.67,25.86,67.56,Tomato
71.02,52.12,55.45,Tomato
93.73,100.57,52.85,Tomato
86.4,117.36,75.69,Tomato
99.56,88.89,48.36,Tomato
95.82,87.4,40.74,Tomato
80.51,93.4,45.52,Tomato
66.01,75.95,56.22,Tomato
77.55,102.28,133.17,Tomato
89.89,30.58,65.79,Tomato
76.84,138.8,75.79,Tomato
70.4,59.34,98.9,Tomato
72.53,41.65,71.08,Tomato
80.2,75.1,11.47,Tomato
88.65,145.13,26.75,Tomato
87.42,119.66,59.81,Tomato
68.19,64.0,61.37,Tomato
82.62,76.16,65.81,Tomato
97.77,53.23,59.13,Tomato
76.09,61.96,60.86,Tomato
82.7,71.66,27.74,Tomato
78.5,102.1,71.73,Tomato
59.34,112.63,64.42,Tomato
92.6,64.83,78.1,Tomato
77.13,144.04,47.46,Tomato
79.09,92.5,57.07,Tomato
87.13,114.35,48.55,Tomato
93.94,-20.62,107.1,Tomato
72.91,95.19,74.42,Tomato
73.05,26.47,53.61,Tomato
70.37,159.58,69.08,Tomato
101.5,45.15,89.39,Tomato
79.07,21.51,82.52,Tomato
80.07,100.71,57.68,Tomato
89.54,161.26,67.86,Tomato
70.84,13.04,49.69,Tomato
75.77,119.86,47.39,Tomato
83.87,76.13,64.72,Tomato
74.1,76.0,34.06,Tomato
83.5,-20.36,63.87,Tomato
88.73,31.75,50.18,Tomato
85.85,137.82,91.69,Tomato
72.14,143.23,81.44,Tomato
71.66,82.9,55.05,Tomato
95.8,156.64,139.86,Tomato
85.11,5.79,74.26,Tomato
80.07,143.97,68.16,Tomato
80.08,-18.21,110.6,Tomato
95.63,54.3,62.31,Tomato
65.14,52.06,88.07,Tomato
88.58,8.67,43.96,Tomato
89.94,144.51,115.66,Tomato
74.37,-20.93,89.68,Tomato
71.19,43.28,-4.43,Tomato
88.05,62.96,92.73,Tomato
77.39,-38.74,42.33,Tomato
72.57,88.31,89.75,Tomato
85.73,114.77,29.2,Tomato
83.2,65.86,59.5,Tomato
84.85,56.55,85.38,Tomato
74.26,112.47,48.68,Tomato
104.03,89.28,115.63,Tomato
79.46,113.69,113.11,Tomato
87.54,98.63,57.13,Tomato
86.24,70.14,68.63,Tomato
88.73,129.2,86.77,Tomato
59.58,26.89,47.61,Tomato
65.96,153.61,95.0,Tomato
91.08,108.03,96.49,Tomato
88.73,81.24,86.0,Tomato
82.0,93.83,59.08,Tomato
79.68,57.67,66.96,Tomato
77.89,64.88,71.99,Tomato
79.59,98.82,102.58,Tomato
84.51,33.9,50.16,Tomato
66.23,140.28,49.77,Tomato
70.09,22.29,98.41,Tomato
98.54,72.97,29.9,Tomato
67.33,153.58,93.83,Tomato
86.34,78.15,62.81,Tomato
62.41,105.25,59.35,Tomato
75.78,70.39,21.99,Tomato
87.1,7.08,37.37,Tomato
90.1,79.26,84.63,Tomato
75.9,-3.76,18.2,Tomato
84.76,57.97,80.06,Tomato
68.39,163.42,48.44,Tomato
73.73,28.89,13.11,Tomato
78.08,18.54,62.35,Tomato
82.42,62.9,72.86,Tomato
66.61,8.11,77.01,Tomato
78.38,68.84,19.7,Tomato
78.42,47.63,40.19,Tomato
76.48,43.52,45.71,Tomato
79.1,91.45,74.67,Tomato
72.57,52.18,48.81,Tomato
92.24,87.24,62.21,Tomato
77.2,71.09,71.64,Tomato
69.64,93.8,50.26,Tomato
62.57,80.7,60.35,Tomato
67.68,-23.2,90.68,Tomato
75.2,12.82,36.47,Tomato
85.71,7.73,15.6,Tomato
80.42,78.66,-16.47,Tomato
59.98,71.68,16.62,Tomato
61.73,47.86,86.21,Tomato
96.19,51.46,96.61,Tomato
71.09,59.15,40.72,Tomato
77.85,80.22,150.54,Tomato
85.71,76.0,34.38,Tomato
65.22,55.79,99.18,Tomato
84.22,105.02,54.52,Tomato
84.36,140.63,20.74,Tomato
74.38,91.29,49.69,Tomato
95.89,16.01,54.07,Tomato
106.8,92.39,27.47,Tomato
56.43,60.21,70.89,Tomato
74.25,-46.42,34.27,Tomato
83.52,128.57,52.53,Tomato
77.68,42.95,65.19,Tomato
77.65,50.38,95.02,Tomato
60.72,-11.63,82.48,Tomato
67.78,70.78,48.24,Tomato
81.33,61.16,85.63,Tomato
71.24,73.18,9.27,Tomato
74.2,40.42,54.8,Tomato
62.91,183.75,79.12,Tomato
88.29,55.77,79.56,Tomato
85.49,170.44,32.89,Tomato
85.46,-5.87,113.35,Tomato
81.29,70.99,63.92,Tomato
89.92,76.19,19.35,Tomato
76.49,127.84,26.35,Tomato
67.14,148.65,81.2,Tomato
92.16,145.4,88.25,Tomato
74.62,144.72,43.38,Tomato
100.63,78.45,35.94,Tomato
93.02,2.83,25.52,Tomato
84.6,32.03,50.56,Tomato
81.53,123.11,30.39,Tomato
71.84,155.16,7.07,Tomato
78.79,182.75,60.96,Tomato
68.47,13.57,83.16,Tomato
81.28,-36.86,42.59,Tomato
65.34,74.19,39.38,Tomato
92.85,0.71,73.68,Tomato
79.72,79.96,61.79,Tomato
85.16,35.31,76.2,Tomato
75.23,30.01,44.6,Tomato
70.45,46.05,89.7,Tomato
72.5,71.68,90.08,Tomato
85.0,74.43,57.33,Tomato
83.17,72.41,101.41,Tomato
78.74,66.5,29.56,Tomato
90.22,87.21,39.09,Tomato
84.24,0.57,51.54,Tomato
79.16,-11.31,51.84,Tomato
95.78,29.31,54.2,Tomato
83.13,-11.24,52.69,Tomato
77.89,4.92,83.83,Tomato
66.84,134.29,47.48,Tomato
94.86,108.79,69.59,Tomato
87.43,28.52,73.03,Tomato
84.64,187.54,54.17,Tomato
66.97,188.54,62.07,Tomato
72.3,82.97,124.57,Tomato
71.34,173.09,43.19,Tomato
67.77,59.66,128.2,Tomato
72.28,94.22,54.73,Tomato
88.66,135.44,46.02,Tomato
75.02,60.58,74.53,Tomato
79.75,112.8,24.09,Tomato
68.99,99.32,108.6,Tomato
81.95,72.64,35.43,Tomato
62.58,75.47,-18.81,Tomato
86.79,119.39,50.12,Tomato
72.16,20.44,22.16,Tomato
81.66,79.91,77.52,Tomato
77.99,-5.07,93.84,Tomato
75.54,42.85,64.63,Tomato
67.12,82.44,80.96,Tomato
78.81,74.84,100.85,Tomato
77.74,110.06,31.93,Tomato
61.29,115.25,26.26,Tomato
80.57,105.02,99.42,Tomato
88.06,59.27,65.14,Tomato
83.05,58.3,49.9,Tomato
87.27,65.73,53.8,Tomato
68.91,138.58,60.12,Tomato
82.01,7.03,74.29,Tomato
84.1,126.74,44.22,Tomato
84.23,120.88,10.65,Tomato
80.93,91.91,14.29,Tomato
74.92,68.1,-5.1,Tomato
97.27,25.48,73.52,Tomato
80.74,-1.34,61.47,Tomato
88.0,122.57,62.24,Tomato
67.64,31.55,53.13,Tomato
92.34,114.32,31.47,Tomato
64.99,76.23,54.71,Tomato
79.25,98.83,61.17,Tomato
68.72,60.72,61.52,Tomato
65.44,83.26,114.5,Tomato
68.13,96.58,12.85,Tomato
88.9,47.04,58.96,Tomato
83.27,9.6,13.12,Tomato
87.55,162.14,121.21,Tomato
62.98,152.33,81.22,Tomato
66.66,104.69,44.21,Tomato
64.73,53.63,65.32,Tomato
82.96,133.31,84.51,Tomato
87.02,131.08,46.72,Tomato
70.92,47.87,39.87,Tomato
87.5,91.79,46.44,Tomato
63.3,116.01,34.88,Tomato
79.54,-16.27,31.64,Tomato
77.26,37.05,58.78,Tomato
102.24,148.43,47.07,Tomato
67.25,26.9,101.12,Tomato
87.41,98.63,41.17,Tomato
73.77,50.55,69.04,Tomato
79.94,66.06,76.68,Tomato
72.25,41.04,64.27,Tomato
86.11,99.17,85.28,Tomato
76.43,5.08,109.91,Tomato
82.13,62.53,27.45,Tomato
78.17,43.07,85.33,Tomato
68.29,34.18,58.5,Tomato
55.78,164.63,86.72,Tomato
81.65,142.62,42.34,Tomato
73.46,63.83,145.84,Tomato
76.07,56.27,85.61,Tomato
78.74,145.15,13.49,Tomato
70.26,25.71,66.33,Tomato
86.75,86.17,52.5,Tomato
70.87,-16.94,45.0,Tomato
65.08,70.83,45.5,Tomato
79.79,80.82,70.61,Tomato
74.11,26.47,46.47,Tomato
82.88,108.84,63.36,Tomato
78.3,118.62,-17.9,Tomato
80.85,108.34,49.16,Tomato
77.92,97.25,49.36,Tomato
78.0,136.64,32.78,Tomato
71.79,97.71,108.54,Tomato
76.82,105.54,60.52,Tomato
56.72,79.58,31.1,Tomato
62.26,125.49,128.64,Tomato
80.3,116.46,46.14,Tomato
77.83,98.82,47.2,Tomato
73.79,25.69,113.55,Tomato
87.53,110.33,27.09,Tomato
70.11,36.08,50.23,Tomato
81.9,-44.43,55.22,Tomato
83.76,87.38,44.07,Tomato
79.46,86.81,14.05,Tomato
90.11,146.44,50.12,Tomato
74.79,125.75,95.24,Tomato
73.08,140.72,61.6,Tomato
64.94,159.1,81.76,Tomato
89.52,3.72,2.67,Tomato
80.25,102.36,29.66,Tomato
86.09,20.55,52.31,Tomato
90.88,165.83,61.43,Tomato
75.83,93.48,60.0,Tomato
77.83,66.4,34.62,Tomato
81.9,187.61,45.31,Tomato
90.44,203.05,38.57,Tomato
64.01,38.85,58.87,Tomato
92.24,10.62,47.72,Tomato
76.85,13.78,53.84,Tomato
74.93,86.61,47.65,Tomato
87.66,109.62,116.74,Tomato
78.12,24.98,45.89,Tomato
85.66,150.53,6.58,Tomato
76.95,138.74,94.11,Tomato
53.33,98.19,90.49,Tomato
96.79,97.51,95.23,Tomato
83.1,168.31,105.11,Tomato
85.13,92.14,60.65,Tomato
70.7,115.85,81.11,Tomato
73.94,78.04,89.17,Tomato
99.46,13.1,3.48,Tomato
93.99,30.12,1.17,Tomato
82.04,55.65,83.48,Tomato
76.33,93.77,29.57,Tomato
83.39,36.76,35.53,Tomato
95.63,105.03,19.53,Tomato
66.38,95.06,107.35,Tomato
79.54,26.46,39.6,Tomato
71.43,175.97,46.6,Tomato
86.36,78.64,78.16,Tomato
87.46,-11.82,26.3,Tomato
72.94,75.04,95.65,Tomato
86.48,101.94,49.77,Tomato
93.5,35.0,44.59,Tomato
87.09,75.28,111.3,Tomato
89.73,91.37,98.67,Tomato
84.6,123.34,-11.67,Tomato
87.79,36.87,8.64,Tomato
74.06,16.58,49.34,Tomato
61.69,92.87,34.1,Tomato
72.32,-5.45,39.33,Tomato
75.57,48.45,38.61,Tomato
73.26,43.03,84.87,Tomato
86.54,84.59,98.43,Tomato
82.35,38.3,93.68,Tomato
81.03,105.81,108.93,Tomato
97.62,187.23,43.81,Tomato
83.06,84.91,60.4,Tomato
87.42,18.69,106.13,Tomato
74.18,59.6,76.39,Tomato
77.71,16.95,63.21,Tomato
71.5,38.07,60.63,Tomato
78.64,82.58,31.26,Tomato
88.66,118.77,24.06,Tomato
91.76,130.1,8.11,Tomato
82.18,131.57,107.05,Tomato
80.38,45.82,49.24,Tomato
74.69,10.61,30.51,Tomato
81.62,36.01,19.87,Tomato
78.49,88.63,88.03,Tomato
62.15,158.1,51.95,Tomato
84.36,98.34,59.9,Tomato
77.92,80.92,51.34,Tomato
101.73,68.31,35.86,Tomato
98.9,-0.24,76.63,Tomato
98.24,62.49,28.0,Tomato
79.47,96.97,84.57,Tomato
101.35,70.2,88.7,Tomato
70.2,60.51,70.48,Tomato
86.96,144.49,88.31,Tomato
95.67,28.76,133.22,Tomato
77.05,-12.15,68.11,Tomato
88.63,55.16,66.77,Tomato
74.84,12.93,47.53,Tomato
89.28,141.34,65.56,Tomato
99.27,54.25,136.62,Tomato
85.94,24.26,53.35,Tomato
83.83,38.43,64.46,Tomato
77.82,46.89,42.98,Tomato
85.61,89.03,45.33,Tomato
89.48,162.74,44.26,Tomato
88.78,66.84,89.02,Tomato
98.74,50.88,102.55,Tomato
75.82,59.0,59.29,Tomato
92.83,183.52,39.66,Tomato
85.46,70.01,17.62,Tomato
99.63,93.42,50.43,Tomato
65.26,56.17,49.27,Tomato
75.48,50.02,72.01,Tomato
78.31,41.6,30.68,Tomato
83.61,83.32,87.11,Tomato
70.03,15.98,73.97,Tomato
79.32,133.8,66.68,Tomato
78.58,133.31,92.96,Tomato
61.86,28.37,86.69,Tomato
91.3,42.57,69.35,Tomato
82.72,92.85,27.87,Tomato
